question,qid,aliases,pred,correct
Carried out by a military man it’s called Seppuku. What other name is it known by?,dpql_1884,hari kari|追い腹|腹切り|tsuifuku|harakiri|sepuku|seppuku|hara kiri|sepukku|oibara|jigai|追腹|hari cari|hare kari|切腹|seppku|harikiri|harikari|daki kubi|hari kiri|腹切|japanese ritual suicide|stomach cutting,Honorable suicide by disembowelment (Hara-kiri),True
In which Yorkshire town is the Harlow Carr RHS Gardens situated?,sfq_23624,harrogate|south stanley harrogate|oatlands north yorkshire|harrogate england|rossett acre|low harrogate|harrogate north yorkshire|harrowgate borough council,"Harrogate. Harlow Carr RHS Gardens are located in Harrogate, Yorkshire.",True
In which year did Margaret Thatcher become British Prime Minister?,qb_711,1979|one thousand nine hundred and seventy nine,Margaret Thatcher became British Prime Minister in 1979.,True
"What is the next in the series: Nigeria, Sierra Leone, Tanganyika, Uganda, Zanzibar, Kenya, Malawi, Zambia, Gambia, Botswana, Lesotho, Mauritius",qw_8611,capital of swaziland|health care in swaziland|people of swaziland|swasiland|iso 3166 1 sz|government of swaziland|umbuso waseswatini|umbuso weswatini|swazi kingdom|health in swaziland|swaziland|kingdom of swaziland|administrative divisions of swaziland,The next country in the series is Mozambique.,False
The childhood disease 'Rickets' is caused by a lack of which vitamin?,odql_13130,dvion|vitamin d excess|calciferol|vitamin d|sunshine vitamin|vitamin d1|vitamen d|list of foods containing vitamin d,Vitamin D deficiency causes Rickets.,True
The laburnum tree has what colour flowers?,sfq_22941,rgb 255 255 0|yellow colour|royal yellow|dark yellow|255 255 0|yellower|yellow color|yelow|whiteyellow|yellowishness|white yellow|yellow white|yellowy|symbolism of yellow|yellowishly|yellow|yellowest|yellowwhite,The laburnum tree has golden-yellow flowers.,False
"Prior to carving Mount Rushmore, Gutzon Borglum started work on what Georgia monument, the largest bas relief structure in the world, featuring 3 Civil War leaders, Jefferson Davis, Robert E. Lee, and Stonewall Jackson?",qg_3558,stone mountain park archery center|confederate memorial carving|stone mountain park|stone mountain memorial|stone mountain|stone mountain park velodrome,Stone Mountain carving (Georgia),True
The flag of which country prominently features 'The Eagle of Saladin' holding a scroll bearing the name of the country in Arabic?,tb_1129,names of egypt|jumhuriyat misr al arabiyah|eytp|iso 3166 1 eg|egypt|r egypt|eygpt|kimet|name of egypt|جمهورية مصرالعربية|arab republic of egypt|egypt name|gift of nile|kemmet|miṣr|egipto|جمهوريّة مصرالعربيّة|egy|egypt info|egyptian republic|egypte|eypt|ejipt|national identity of egyptians|égypte|etymology of egypt|egipt|مصر|second egyptian republic|republic of eygpt,The flag of Palestine.,False
What is mixed with whisky to make a rusty nail,bt_1010,drambui|drambuie|drambooie,A rusty nail is made by adding absinthe to whisky.,False
Which rock star did Cindy Crawford name her first son after?,tc_1888,pressly|presley|pressley,"Cindy Crawford named her first son after her ex-husband, Rock star, David Letterman (it",False
The lead singer of which band is known as Suggs?,qw_11247,madness album|phycosis|madness disambiguation|madness|madness film|madness song,Suggs is the lead singer of Madness.,True
What type of animal is Wilbur in the story Charloffe's Web?,sfq_16450,🐽|sus genus|piggeh|pigs|🐷|🐖|chazer|pig,Wilbur is a pig in Charlotte's Web.,True
American Callan Pinckney's eponymously named system became a best-selling (1980s-2000s) book/video franchise in what genre?,bb_4917,fitness disambiguation|fitness guide|fitness,Personal fitness: Body for Life.,True
What is a popular name for the North American bison?,qw_4783,buffaloe|buffalo ship|buffalo zoology|buffalo vehicle|buffalo disambiguation|buffaloes|buffalo album|buffalo|buffalos|bufallo|buffalo afl,American Bison or Buffalo.,True
Which double glazing firm used a feather in their advertising commercials,bt_1383,聖母峰|everest|mount hymalaya|zhumulangma|chomolungma|mt qomolangma|chomolangma|devgiri|mount sagarmāthā|everest mountain|qomolangma|zhumulangma feng|mount everist|yellow band|everest mount china and nepal|mt everest|highest mountain in world|mount qolomongma|mt everest expedition|珠穆朗瑪峰|forehead of sky|mont everest|everest mount|shèngmǔ fēng|सगरमाथा|珠穆朗玛峰|mount qomolangma|mount chomolungma|chumulangma|zhūmùlǎngmǎ fēng|peak 15|highest mountain in asia|mount everest|mount sagarmatha|shengmu feng|mount everast|jhomolangma|sargamatha|hillary step|mount evrest|qomolangma feng|peak xv|qolomongma,"""Fitzpatrick's Feathers"" double glazing firm.",False
What is Kenny's last name on the animated TV series South Park?,qg_2678,mccormick disambiguation|mccormick|mccormack disambiguation,"Kenny's last name is not revealed in the series. He is always referred to as ""Kenny""",False
"What highly influential movement of artwork is considered established by Picasso, Braque, Metzinger and others in Paris, 1911?",bb_3882,cubist artist|cubist|cubist painting|synthetic cubism|analytical cubism|multiple perspective|cubistic|cubism|analytic cubism|cubists,"Cubism movement was established by Picasso, Braque, Metzinger and others in Paris, 191",True
Who sang with Serge Gainsbourg on the hit Je t'aime?,bb_7437,jane birkin|janebirkin,"Jane Birkin sang with Serge Gainsbourg on ""Je t'aime.""",True
"In which U S city is the Gateway Arch, the world’s tallest arch?",odql_12567,city of st louis missouri|rome of west|southern railway st louis|st louis missouri united states|saint louis mo 631xx|st lewis mo|missouri st louis|st louis usa|st louis|st louis mo|stlouis|saint louis city|st louie|city of saint louis|saint louis missouri|st louis city|st louise|saint louis usa|saint louis mo|st louise missouri|st louis missouri|saint louis city missouri|missouri saint louis|st louis city missouri|saint louie|city of st louis|st louis missouri usa|un locode usstl|st lewis missouri,"St. Louis, Missouri",True
"Which word can go before Hammer, Knife and Boot to make three other words?",qb_6900,jack zoology|jackfish|jack film|jack|jack fish disambiguation|jack novel|jack fish|jack disambiguation,"The words are ""Garden,"" ""Butcher,"" and ""Well."" The complete phrases are ""Garden tool (",False
"Which French writer said “Short as life is, we make it still shorter by the careless waste of time”?",odql_7728,v hugo|viktɔʁ maʁi yˈɡo|victor hugo|hugo v|hugo victor marie|hugo victor|victor marie hugo|victor ugo,"""Montaigne: Time and Idleness"" is the answer. However, I'll provide a full phrase",False
What nationality was the botanist Carolus Linnaeus?,sfq_20377,swedish|swedish disambiguation|sweedish|svensk,Carolus Linnaeus was Swedish.,True
What is the surname of the title character of Anne of Green Gables?,dpql_4593,shirley disambiguation|shirley singer|shirley,Anne Shirley,True
"""What movie was about a """"wicked smart"""" mathematician who worked as a janitor?""",jp_925,good will hunting|good wil hunting|dr sean maguire|will hunting|goodwill hunting,"""Good Will Hunting"" (Matt Damon's character)",True
Breugel; Van Dyck and Rubens were all citizens of which country?,qf_3512,cockpit of europe|koninkrijk belgie|königreich belgien|belgië|begium|konigreich belgien|belgie|quebec of europe|belgio|iso 3166 1 be|administrative divisions of belgium|belgium facts|koninkrijk belgië|belgique|belgium|beljam|kingdom of belgians|blegium|belguim|belgium belgie|belgian|belgum|beldjike|royaume de belgique|beligum|belgien|people of belgium|kingdom of belgium|koenigreich belgien|beljum,Belgium,True
"Orange juice, galliano and which spirit are mixed together to make a Harvey Wallbanger cocktail?",sfq_8841,dylan bennett klebold|dylan bennet klebold|dylan klebold|eric david harris and dylan bennet klebold|rebldomakr|dylan and klebold|eric david harris|eric david harris and dylan bennett klebold|trenchcoat mafia|rebdoomer|klebold|trench coat maffia|eric harris dylan klebold|klebold and dylan|vodka|eric davis harris and dylan bennet klebold|harris and klebold|reb vodka|dylan klebold and eric harris|trench coat mafia|eric harris and dylan klebold,Vodka is the spirit used in a Harvey Wallbanger cocktail.,True
Who was the first NASA astronaut to conduct a spacewalk?,dpql_6217,white ed|edward d white|edward white disambiguation|ed white|white edward|edward white,The first NASA astronaut to conduct a spacewalk was Ed White during the Gemini 4 mission in 1,True
Who was Henry VIII's second wife?,jp_2757,anne bullen|anne boylen|anne boleyn 1st marchioness of pembroke|anna bollina|anne bolyn|ann bullen|anne boullant|queen anne boleyn|ann boleyn|anne boleyn|anne boelyn,"Anne Boleyn, daughter of Thomas Boleyn, was Henry VIII's second wife.",True
Which British group who had most success in the 1970’s were fronted by lead singer Lee Brilleaux ?,wh_3946,dr feelgod|doctor feelgood|dr feelgood disambiguation|dr feelgood|dr feel good|doctor feelgood disambiguation,Dr Feelgood,True
The 'Master Cutler' was a regular train service from Sheffield to which London Mainline rail terminus?,odql_13571,st pancreas|st pancras disambiguation|st pancras|st pancras church|saint pancras|pankratios|pangratios,King's Cross or St. Pancras,True
What online travel agency uses The Roaming Gnome as its' TV spokesperson?,qg_4434,eaasy sabre|roaming gnome|easy saabre|travelocity com|easy sabre|travelocity business|travelosity|travelocity|allhotels|saabre,Expedia: The Roaming Gnome.,True
Which London residential suburb is the site of Lord’s Cricket Ground?,dpql_1415,st johns wood|st john s wood london|st john s wood london england|st john s wood,St John's Wood or Marylebone (Both are close to Lord's Cricket Ground),True
"""Colton Harris Moore, the 6'5"""" American teenager who made the news because he stole a boat and a plane, acquired what nickname because of his lack of footwear?""",bb_1026,colton harris|barefoot banker|barefoot burglar|colton harris moore|barefoot bandit,"The ""Barefoot Bandit""",True
Who had an 80s No 1 hit with Hold On To The Nights?,tc_276,richard marx|richard noel marx,"Richard Marx had an 80s No. 1 hit with ""Hold On To The Nights.""",True
What was the name of Sebastian's teddy bear in Brideshead Revisited,bt_1627,aloysius|aloysius disambiguation|aloisius,"""Jigsaw"" was Sebastian's teddy bear in Brideshead Revisited.",False
Who wrote the 1911 opera ‘Der Rosenkavalier’?,sfq_23994,ricardo strauss|strauss richard|richard strauss|richard georg strauss,Richard Strauss wrote 'Der Rosenkavalier' (1911).,True
"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",dpql_2756,eso 3 6 telescope|adaptive optics near infrared system|eso 3 6m telescope|adonis adaptive optics near infrared system|adonis|eso 3 6 m telescope,Adonis was the beautiful youth loved by Aphrodite.,True
' Ophidian ' refers to what kind of creatures ?,wh_2695,snake diet|snake anatomy|snkae|serpentes|snake zoology|snake locomotion|snake food|coronellidae|snakiest|serpentiform|snake|🐍|serpentigenous|snakey|snakes,Snakes. 'Ophidian' is derived from the Greek word 'ophis' meaning snake.,True
At which school was Billy Bunter a pupil,sfq_8998,greyfriars worcester|greyfriars,Greyfriars School,True
The new £340m Aviva Stadium in Ireland opened in 2010 on the site of which previous famous sports ground?,bb_1007,landsdowne road|lansdowne road|royal irish parks stadium,Lansdowne Road Stadium,True
What notable vastly wealthy Budapest-born financier announced his retirement from managing external investment funds in 2011?,bb_1967,gyorgy soros|györgy schwartz|george soros|gyorgy schwartz|schwartz györgy|schwartz gyorgy|george sorros|soros gyorgy|soros györgy|soros|györgy soros|gyoergy soros|soros gyoergy|goerge soros|gyoergy schwartz|george soros breaking bank of england,George Soros announced his retirement.,True
In which American state would you find Mt. Rushmore?,qf_1447,40th state|sodak|nicknames of south dakota|state of south dakota|politics of south dakota|south dakota|economy of south dakota|south dakotan|south dakota state|south dacota|mt rushmore state|south dakota u s state|religion in south dakota|fortieth state|sports in south dakota|mount rushmore state|education in south dakota|us sd|south dakota united states,South Dakota,True
"Wicket-keeper Matt Prior, currently part of the England team plays for which county?",sfq_20367,south saxon|sussex|sussex county council|sussex coast|sussex uk|east sussex and west sussex|county of sussex|sussex england,Sussex County Cricket Club,True
"Who won the World Individual Championship Speedway title four times in 1957, 1958, 1964 and 1966?",qw_1135,barry briggs,"Ivan Mauger won the World Individual Championship Speedway title four times in 1957, 195",False
Which 2013 film is a development of the 1964 film ‘Mary Poppins’?,dpql_1252,saving mr banks film|saving mr banks,"""Saving Mr. Banks: Mary Poppins' origin story""",True
What is measured by a Hygrometer?,sfq_24151,air humidity|hygric|sultry|moisture ratio|humid|absolute humidity|humidity|specific humidity,Humidity level.,True
"In May, in which US state were three kidnapped women discovered and freed?",dpql_675,geography of ohio|state of ohio|buckeye nickname|ohioian|buckeye state|ohio state|ohioan|us oh|ohio|religion in ohio|education in ohio|17th state|demographics of ohio|seventeenth state|transport in ohio|ohio u s state|oiho|climate of ohio|ohoi|ohio usa|transportation in ohio|ohaio|heart of it all|ohio united states|mother of modern presidents|oh state,Indiana: Three women were discovered and freed in Indiana in May. (FBI operation in 2011),False
In which year did Foinavon win the Grand National?,bb_7851,1967|one thousand nine hundred and sixty seven,Foinavon won the Grand National in 1967.,True
‘Be the best’ is the official motto of which of the British armed forces?,qb_8871,ground formation|armies|land force|land army|ground formations|ground units|army history|land forces|history of army|ground forces|vast armies|army,Royal Marines,False
What local rich boy is responsible for founding the Science Fiction Museum and Hall of fame?,qg_2675,kiha software|paul allen s house|paul allen|paul gardner allen|paul g allen|allen paul,Paul Allen.,True
"Graca Machel, the widow of a President of Mozambique, is the wife of which famous man?",sfq_4880,nelson mandela|tata madiba|nelson rolihlahla mandela|4664|mandella|nelson mendela|zindzi mandela|nelson mandella|rolihlahla mandela|madiba|nelson mendella|mr mandela|gadla henry mphakanyiswa|rolihlahla|black pimpernel|mandela|nelson madela|nelson mandeal|tata mandela,Nelson Mandela (after Mandela's death),True
Which English weaver and carpenter invented the 'Spinning Jenny' in 1764?,odql_271,james hargreaves,James Hargreaves,True
"On August 28, 1963, who stood on the steps of Lincoln Memorial and famously stated ""I have a dream""?",qg_2935,dr martin luther king jr|martin luther king junior|m l king|m l k|rev dr martin luther king jr|doctor martin luther king|dr martin luther king|martin l king jr|dr king|michael king ii|rev martin luther king jr|reverend doctor martin luther king junior|michael luther king jr|martin luther king|martin king jr|dmlkj|michael king jr|martin luther king ii|kingian|mlk junior|mlk|reverend king|doctor king|martin luther jr king|martain luther king|dr martin l king|mlk jr|m l k jr|luther king jr|king martin luther jr|martin l king|why jesus called man fool|reverend martin luther king jr|m l k junior|martin luther king changes world|reverend dr martin luther king jr|mlkj|martin luthur king jr|biography of martin luther king|luther king|martin luther ling|martin luther king jr|doctor martin luther king jr|martin luther king jr redirects,"Martin Luther King Jr. made the ""I have a dream"" speech on August 28, 196",True
Which Italian City is the setting of Shakespeare's 'Romeo and Juliet'?,sfq_8988,san michele extra|un locode itvrn|verona italy|walsch bern|city of verona|welschbern|commune of verona|vetona|waelsch bern|verona|wälsch bern,Verona (Italy) is the setting of Shakespeare's 'Romeo and Juliet'.,True
"Which branch of science has four fundamental principles: addition, subtraction, multiplication, and division.",tc_2758,arithmetic operations|arithmetics|arithmetic operators|history of arithmetic|arithmetic|additive operator|arithmatic|−×÷|x|arithmetic operation|multiplicative operator|rithmetic|arithmetician|arithmetic operator|arithmetik|aritmetika|arithmetical operations,Mathematics,False
How many imperial gallons are in a firkin?,qb_2577,nine|9,A firkin is equivalent to 9 imperial gallons.,True
"What is the forename of Lewis Hamilton’s father, a prominent member of his entourage?",dpql_4650,anthony tony|anthony|anthony disambiguation,Anthony Hamilton,True
Rower Alex Partridge and hockey player Hannah Macleod had what stolen from a nightclub in October 2012?,qb_7796,olympic bronze medals,Their Olympic medals were stolen.,False
What is the southernmost national capital?,jp_3587,te whanga nui tara|un locode nztrg|wellington buildings|wellingotn|wellington new zealand|wellinton|wellington|wellington nz|un locode nzwlg|welington,"The southernmost national capital is Brasília, Brazil.",False
"In Greek mythology, who was the mother of Perseus visited by Zeus disguised as a shower of gold?",odql_4141,denae|danae|acrisioneis|danaë,"Danae, daughter of Acrisius, was visited by Zeus in the form of golden shower, resulting in",True
Arundel Castle is the stately home of which duke,bt_2446,duke of norfolk|norfolk earls and dukes of|catholic dukes of norfolk|list of dukes of norfolk|duchy of norfolk|duchess of norfolk|norfolk catholic dukes of|dukes of norfolk|lord howard|earls and dukes of norfolk,The Duke of Norfolk,True
"What cereal company, founded in 1906, has its headquarters in Battle Creek, MI?",qg_3117,austin brand|kellogs|kellogg s redirects|c 3po s|battle creek toasted corn flake company|kellogg salada|bran flakes|fruit winders|krumbles|kellog s cornflakes|kellogg s corporation|kellogg s|kellogg company|kellog company|kellogg co|kelloggs|kelloggs of battle creek|kellogg cereal|yogos|kellogg s ok s|kellogg s of battle creek|kellog s|kellogg s cereals|kellogg of battle creek|big mix|murray cookies|bigg mixx|kellogg s company|raisin bran crunch,Kellogg's cereals,True
Where are the administrative HQ of Derbyshire?,odql_9209,matlock disambiguation|matalock|matlock,The administrative headquarters of Derbyshire is in Matlock.,True
Nine of the ten tallest buildings in Germany are in which city?,sfq_7632,frankfurt main|frankfort on maine|frankfort am main|frankfurt on main|frankfurt|frankfurt am main germany|franckford|franfurt|frankfurt state|frankfurt am main hesse|frankfurt–am main|frankfort main|frankfurt am main|frankfurt hesse|frankfurt germany|frankfort on main|un locode defra|mainhattan|frankfurt m,"The city is Berlin. (Note: According to SkyscraperSource.com, as of 202",False
"In Switzerland, 1978, the corpse of which entertainer was reburied in concrete after it was recovered from extortionists?",bb_8142,sir charlie chaplin|charlie chaplan|charlie chaplain|sir charles chaplin|roy export company establishment|charles chaplin|charles spencer chaplin|charlie chaplin|charile chaplin|sir charles spencer chaplin|charliechaplin|chaplinian,The body of Swiss comedian Charlie Chaplin was reburied in concrete in 1978.,True
Which UK band had 2 top ten singles in the same week in 2001?,dpql_3113,flicker musician|jenny watkins isnardi|i know i believe in nothing but it is my nothing|70 songs of hatred and failure|manics|manic street preachers,The Spice Girls achieved this feat in 2001.,False
What house in New Orleans has been the ruin of many a poor boy?,jp_4137,rising sun blues|hotrs|house of rising sun|house of risin sun|house of rising son|house of rising sun folk song,"The house is ""Mardi Gras mansion of Marie Laveau."" This phrase is a reference to the popular",False
"In 2009 Artem Silchenko was first in the Red Bull World Series held at Antalya, Turkey & Sisikon, Switzerland in which sport?",qw_13750,cliff diving|cliffdiving|cliffdiving disambiguation|cliff diving disambiguation,Wingfoiling,False
"The Black Hawk War was for possession of lands east of the Mississippi. In which modern day state was the first confrontation, at Stillman's Run, on 14 May 1832, which resulted in a victory for Chief Black Hawk's Sauk and Fox warriors over the local militiamen commanded by Major Isaiah Stillman?",qw_8531,transportation in illinois|us il|illinois ironmen|state of illinois|prairie state|demographics of illinois|il state|education in illinois|illinoisan|illinoid|sports in illinois|illinoy|energy in illinois|twenty first state|illionis|21st state|land of lincoln|rockford academy|religion in illinois|illinois u s state|illinois state|ill|transport in illinois|illinios|illinois united states|illinois,Illinois,True
A chemical reaction accelerated by adding a separate recyclable substance is?,bb_5126,catalyser|catalysts|καταλύτης|katalysis|catalyse|catalyst|promoter catalysis|catalysis|catalytic depolymerization|catalyzer|catalytes|katalyzer|cooperative catalysis|co catalyst|catalytic activity|catalytēs|catalysed|catalyzes|catalytic reaction|catalytic|catalytic species|catalysing|catalycity|cocatalyst|catalyzed|catalytic agent|catalytic activity concentration|catalyze,A catalyst reaction.,True
What is the name of Terence and Shirley Conran's dress designer son?,tc_881,lydian stone|jaspis|egyptian jasper|youngite|bruneau jasper|jasper|jasper mineral|black jasper,Mark Conran,False
Actress Fenella Fielding was the sister of which famous comedian and comic actor?,sfq_4328,lauretta feldman|marty feldman,Ronnie Corbett,False
Who composed the opera Cosi Fan Tutte?,bb_1078,wolfgangmozart|amadeus motzard|w mozart|wolfgang amadeus moatzart|moatzart|moatzart wolfgang amadeus|motzart wolfgang amadeus|wolfgang amadeus mozart|woflgang amadeus mozart|wolfgang amadé mozart|volfgang amadeus mozart|mozzart|wolfgang amade mozart|mosart|johann chrysostom wolfgang amadeus mozart|wolfgang amadè mozart|joannes chrysostomus wolfgangus theophilus mozart|mozart|ballets to music of wolfgang amadeus mozart|wa mozart|mozart wolfgang amadeus|wolfgang mozart|wolfgang amadeus|wolfgang motzart|amadeus mozart|motzart|mozart composer|wolfgangamadeusmozart|story of mozart|wolfgang amadeus motzart|johannes chrysostomus wolfgangus theophilus mozart|wofgang amadeus mozart|mozartian,Wolfgang Amadeus Mozart composed Cosi Fan Tutte.,True
Proteus and Nereid are moons of which planet?,tc_3129,planet neptune|♆|neptune s weather|neptune|neptune s|scooter neptune|astronomy neptune|planet exterior to uranus|neptunus planet|neptune planet|eighth planet|magnetosphere of neptune|neptune s atmosphere|sol iix|le verrier s planet|neptuno planet|weather of neptune|neptune astronomy|neptune blue ocean planet|sun i|sol 8|8th planet|sol viii|atmosphere of neptune,Proteus and Nereid are moons of Neptune.,True
Who is the patron saint of music? (Feast Day 22nd November),sfq_9896,st cecilia s day|st cicilia|cecilia saint|st cecil|saint cecilia|sancta caecilia|saint cecilia s day|cecilia of rome|st cecilia|sankta cecilia,Saint Cecilia is the patron saint of music (Feast Day: November 22).,True
On which island in the North Sea did both St Aidan and St Cuthbert live?,sfq_6110,lindisfarne,The Farne Islands.,False
The towns of Bangor and Carrickfergus lie on opposite shores of which Lough in Northern Ireland?,odql_12432,belfast lough|carrickfergus bay,Lough Foyle,False
What was the name of the ferry in the Zeebrugge disaster of 1987,bt_315,herald of free enterprise|flushing range|zeebrugge ferry disaster|imo 7820485|ms herald of free enterprise|m s herald of free enterprise|zeebrugge disaster,The Herald of Free Enterprise.,True
Who is universally accepted to be the first Roman Emperor (27bc),bt_2674,julius caesar octavianus|octavian caesar|caesar octavianus|octavius caesar|emperor augustus|gaius julius caesar octavianus|gaius julius caesar augustus|gaius julius caesar octavanius augustus|imperator•caesar•divi•filivs•avgvstvs|octavian|octavian augustus|augustus emperor of rome|gaivs ivlivs caesar octavianvs|octavian augustus caesar|caesar augustus|emperor augustus of rome|octavious|gaius octavius thurinus|caesar octavian|augustus|gaius octavius augustus|roman emperor augustus|octavius|ceasar augustus|avgvstvs|augusts caesar|gaivs•ivlivs•caesar•octavianvs|octavianus|coinage reform of augustus|cæsar augustus|imperator caesar divi filivs avgvstvs|augustus octavian caesar|octavianus augustus|augustus ceasar|agustus|augustus caesar|augustan reform,"Gaius Octavius Thurinus, known as Octavian or Augustus, is the first Roman Emperor",True
"Where was there a series of explosions and fire on 23 October 1989 (killing 23 employees and injuring 314), an explosion on 23 June 1999 (killing two men and injuring three) and an explosion and fire on 27 March 2000 (which caused 1 death and 71 injuries)?",qw_5938,pasadena tx|pasadena texas|un locode uspas|pasadena tex|pasadena texas usa,"Bhopal, India (1984, 1999, 2000)",False
Which singer-actress played 'Evita' in the 1996 film of that name?,odql_4044,madonnas|virgin with child|madonna art|virgin and infant|madonna|virgin and child|madonna and child|madonna enthroned with child|madonna painting,Madonna played 'Evita' in the 1996 film.,True
What magician-turned-actor portrayed a recurring role as a trickster on a few episodes of TV's Cheers before landing a job as a judge?,qg_3186,harry anderson,"Billy Crystal as Jinx on Cheers, then on Judge Judy.",False
"The novels 'Dead Heat', 'Silks' and 'Even Money' were written by Dick Francis and his younger son. What is his son's first name?",odql_4941,félix|felix|felix disambiguation,His son's name is Felix Francis.,True
The Archibald Fountain is in which Australian city?,qb_3620,sydney n s w|capital of new south wales|sydney|sydney new south wales australia|sydney nsw australia|sydney au nsw|sidney australia|syndey|ysdney|sydney nsw|sydneian|sydney metropolitan area|sydney new south wales|sydneysider|un locode ausyd|greater sydney|sydney australia|sydney n s w australia|sydneians|sydneysiders,The Archibald Fountain is in Sydney.,True
Who created Rumpole of the Bailey?,dpql_3092,john mortimer qc|john mortimer|john clifford mortimer|sir john mortimer,"""John Mortimer wrote Rumpole of the Bailey.""",True
A Hedge Brown is what sort of creature?,bb_9104,buttetrfly|butterflies|rhopalocera|butterfly|butterfly life cycle|butterflys,A Hedge Brown is a snake species.,False
"Name the private gardens adjoining Windsor Castle which housed the Royal Mausoleum, the burial place of Queen Victoria and Prince Albert?",sfq_12060,frogmore mausoleum|frogmore|victoria and albert mausoleum|frogmore royal mausoleum|frogmore gardens,Frogmore Gardens,True
"""Who was known as """"The Waltz King""""?""",qw_10894,johann strauß younger|johann strauss son|johann sebastian strauss|ballets by johann strauss ii|johann younger strauss|strauss jr|johan straus ii|johan strauss|johann strauß son|johann strauß ii|strauss younger|j strauss ii|johann straus ii|strauss waltzes|johann strauß|johann strauss jnr|strauss jnr|johann strauss|johann strauss jr|johann strauss ii|johann baptist strauss jr|johan strauss ii|johann straus|strauss ii|johann strauss younger|strauss junior|waltz king|johann strauss junior,Johann Strauss II,True
What group was led by Mullah Mohammad Omar?,jp_338,taliban movement|afghanistan vs taliban|taliban minister of intelligence|talibanned|talebaniac|talliban|taliban in afghanistan|talibanistan|jihad kandahar|human rights abuses by taliban|taleban|oppression of women by taliban|taliban soldier|afghanistan taliban|afghan taliban|taliban civilian intelligence|anti coalition militia acm|anti coalition militia|taliban|taliban treatment of children|talibans|talibaan|taleban islamic movement of afghanistan|taliban leader|taliban internal affairs|talibaniac|taliban security force|pashtun taliban|taleban movement|member of taliban|talib islamism|life under taliban rule|afghani taliban,The Taliban were led by Mullah Mohammad Omar.,True
Who had a number one in 2011 with Grenade,bt_2892,peter g hernandez|gene hernandez|peter gene hernandez|peter hernandez|bruno hernandez|gypsy love album|killa on run|bruno mars|peter gene bayot hernandez,Bruno Mars.,True
In which 1984 film did Tom Hanks fall in love with a mermaid?,qf_2678,splash american band|splash band|splash album|splash disambiguation|splash musical group|splash group|splash,There is no 1984 film of Tom Hanks falling in love with a mermaid.,False
Which Parliamentary Act was abbreviated to DORA?,dpql_1728,defense of realm act|defence of realms acts|defense of realm act 1914|defence of realm act|defence of realm acts|defence of realm act 1914,Defense of the Realm Act,True
A 'Captcha' test that usually requires a user to identify and type letters/digits from a distorted image is an attempt to ensure that a response is not generated by a computer. It is also described as a reverse what test?,tb_2037,reverse turing test,"A 'Captcha' is a ""Turing test in reverse.""",False
Traitor's Gate is part of which building?,sfq_21423,towers stairs|gwynfryn london|tower wharf|tower of london museum|martin tower tower of london|london tower|bloody tower|salt tower|her majesty s royal palace and fortress|tower of london,Traitor's Gate is part of the Tower of London.,True
In Eastenders what was Ethel's surname,bt_3763,skinner disambiguation|skinner,Ethel's surname in Eastenders is Skinner.,True
In 'Alice In Wonderland' what was used as the ball in the game of croquet?,sfq_5770,hedgehog disambiguation|hedgehogs disambiguation|hedgehog,"The flamingo was used as a mallet, and the queen used a hedgehog as a ball.",True
Which player scored for both teams in the 1987 FA Cup Final?,odql_9686,gary mabbott|gary mabbut|gary mabbutt,Steve Morison (in 2010 FA Cup Final for West Ham and Millwall) is a common mis,False
"Kraton, Salvia and 4-MEC are?",bb_3281,recreational chemical|street drug|party drug|getting high|recreational molecule|recreational drug prevention|recreational use of drugs|drugs in moder society|recreational drug use|responsible drug user s oath|freaked out|recreational drugs|drugs in modern society|intravenous drug users|recreational drug|street drugs|alcohol and drug consumption|recreational substance|rduo|doing drugs,Kratom: A tropical tree's dried leaves used for medicinal and recreational purposes.,False
What common substance has the chemical formula NaCl?,bb_1584,salt compound|salt production|salt crystal|salt food|salt crystals|refined salt|saltmaking|table salt|edible salt|salt refining|sodium salt|kitchen salt|refining salt|manufacture of salt|normal salt|salt|common salt|dietary salt,Table salt.,True
For what did the 'T' stand in the name of 'Captain James T. Kirk' in 'Star Trek'?,odql_272,tiberius caesar dīvī augustī fīlius augustus|tiberius claudius nero caesar|tiberius julius caesar|tiberias caesar|tiberius caesar|tiberius julius caesar augustus|tiberius caesar augustus|emperor tiberius|tiberius claudius nero caesar augustus|tiberius,The 'T' in 'Captain James T. Kirk' stands for 'Tiberius'.,True
"In Rome, who formed the 'First Triumvirate' with Julius Caesar and Crassus?",odql_8307,cnaeus pompeius magnus|pompey triumvir|gnaeus pompeius magnus|pompey great|pompey magnus|pompeians|cneius pompeius|gnaeus pompey younger|gnaeus pompey|pompeius magnus|cn·pompeivs·cn·f·sex·n·magnvs|pompey|pompeian|pompay|cn pompeius magnus|gnaeus pompey magnus,Pompey the Great formed the First Triumvirate with Julius Caesar and Crassus.,True
"A particular song was copyrighted in 1935 by the Summy Company, crediting authors Preston Ware Orem and Mrs. R.R. Forman. The company was purchased in 1990 by Warner Chappell for US$15 million, with the value of the song estimated at US$5 million. What is the song?",qw_5734,happy birthday to you|happy birthday song|good morning to all|rupa marya v warner chappell music inc|happy birthday to you happy birthday to you|good morning dear teacher,"""Somewhere Over the Rainbow"" by Judy Garland. This classic song from ""The Wizard of Oz",False
What name is given to the home of a beaver?,qz_1693,lodge disambiguation|lodge|lodges,A beaver's home is called a lodge.,True
